Wall time,Step,Value
1756569417.8671248,2048,50.0
1756582492.3337677,4096,50.0
1756582508.2969403,8192,50.0
1756582524.2612207,12288,50.0
1756582543.6649544,16384,50.0
1756582560.1965652,20480,50.0
1756582576.9048934,24576,50.0
1756582593.5994902,28672,50.0
1756582612.9295442,32768,50.0
1756582630.5612376,36864,50.0
1756582647.3309348,40960,50.0
1756582663.777855,45056,50.0
1756582682.761104,49152,50.0
1756582704.5786486,53248,50.0
1756582726.6183088,57344,50.0
1756582745.704523,61440,50.0
1756582764.8347259,65536,50.0
1756582782.5444627,69632,50.0
1756582802.3582554,73728,50.0
1756582822.584505,77824,50.0
1756582842.3357346,81920,50.0
1756582862.2102711,86016,50.0
1756582883.6368387,90112,50.0
1756582904.0462193,94208,50.0
1756582923.9205568,98304,50.0
1756582944.5829802,102400,50.0
1756582964.3442812,106496,50.0
1756582985.6832247,110592,50.0
1756583005.409448,114688,50.0
1756583025.7673237,118784,50.0
1756583043.4098039,122880,50.0
1756583061.7446938,126976,50.0
1756583078.1822202,131072,50.0
1756583095.0897782,135168,50.0
1756583112.6516516,139264,50.0
1756583130.887027,143360,50.0
1756583151.7221982,147456,50.0
1756583173.1176045,151552,50.0
1756583193.030048,155648,50.0
1756583211.84664,159744,50.0
1756583232.7398896,163840,50.0
1756583252.2569518,167936,50.0
1756583269.9030468,172032,50.0
1756583285.1017122,176128,50.0
1756583301.9875376,180224,50.0
1756583318.4128742,184320,50.0
1756583334.8554106,188416,50.0
1756583353.9740279,192512,50.0
1756583372.659068,196608,50.0
1756583391.8810658,200704,50.0
1756583410.6837425,204800,50.0
1756583430.297625,208896,50.0
1756583449.130906,212992,50.0
1756583471.0986135,217088,50.0
1756583488.616472,221184,50.0
1756583505.7805636,225280,50.0
1756583521.7025802,229376,50.0
1756583538.5264478,233472,50.0
1756583554.5244527,237568,50.0
1756583570.6006749,241664,50.0
1756583587.3461013,245760,50.0
1756583604.7247496,249856,50.0
1756583620.5555253,253952,50.0
