Wall time,Step,Value
1756569417.8672097,2048,414.0
1756582492.333859,4096,291.0
1756582508.296997,8192,272.0
1756582524.2612782,12288,267.0
1756582543.6650424,16384,250.0
1756582560.1966226,20480,249.0
1756582576.9049602,24576,249.0
1756582593.5995736,28672,248.0
1756582612.9296007,32768,243.0
1756582630.5612936,36864,242.0
1756582647.3310084,40960,242.0
1756582663.7779386,45056,242.0
1756582682.7611735,49152,240.0
1756582704.578725,53248,235.0
1756582726.6183827,57344,230.0
1756582745.7045946,61440,229.0
1756582764.8347845,65536,228.0
1756582782.5445232,69632,228.0
1756582802.3583198,73728,227.0
1756582822.5845697,77824,226.0
1756582842.335812,81920,225.0
1756582862.2103417,86016,224.0
1756582883.6369348,90112,222.0
1756582904.0462863,94208,221.0
1756582923.9206283,98304,220.0
1756582944.5830474,102400,219.0
1756582964.3443582,106496,219.0
1756582985.683279,110592,217.0
1756583005.4095156,114688,217.0
1756583025.7674215,118784,216.0
1756583043.409865,122880,217.0
1756583061.7447517,126976,217.0
1756583078.1822822,131072,218.0
1756583095.089835,135168,219.0
1756583112.6517239,139264,219.0
1756583130.8871107,143360,219.0
1756583151.7222652,147456,218.0
1756583173.1177049,151552,218.0
1756583193.030116,155648,217.0
1756583211.8466957,159744,217.0
1756583232.7400033,163840,217.0
1756583252.2570326,167936,216.0
1756583269.9031115,172032,217.0
1756583285.1017668,176128,218.0
1756583301.9876034,180224,218.0
1756583318.4129336,184320,219.0
1756583334.8554704,188416,219.0
1756583353.9740949,192512,219.0
1756583372.659124,196608,219.0
1756583391.8811233,200704,219.0
1756583410.6838162,204800,219.0
1756583430.297705,208896,219.0
1756583449.1309855,212992,219.0
1756583471.09872,217088,218.0
1756583488.616527,221184,218.0
1756583505.7806208,225280,219.0
1756583521.70268,229376,219.0
1756583538.5265396,233472,220.0
1756583554.5245092,237568,220.0
1756583570.6007352,241664,221.0
1756583587.3462029,245760,221.0
1756583604.7248044,249856,221.0
1756583620.5556033,253952,222.0
1756583637.3206818,258048,222.0
1756583655.7157018,262144,222.0
1756583672.1674209,266240,222.0
1756583688.058,270336,223.0
1756583704.4609518,274432,223.0
1756583720.955397,278528,224.0
1756583736.917119,282624,224.0
1756583753.6418498,286720,224.0
1756583769.9536517,290816,225.0
1756583786.8579204,294912,225.0
1756583802.3024178,299008,225.0
1756583817.299542,303104,226.0
1756583835.1274023,307200,226.0
1756583850.9596207,311296,226.0
